Date : 2023-12-29 18:45:13
Directory : /Users/yufei/Documents/ETH 2024spring/12306
Total : 486 files,  135494 codes, 13442 comments, 4613 blanks, all 153549 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| tests/general/src/test/java/org                                                                                                                                                                                      |          1 |         30 |         21 |          6 |         57 |
| tests/general/src/test/java/org/opengoofy                                                                                                                                                                            |          1 |         30 |         21 |          6 |         57 |
| tests/general/src/test/java/org/opengoofy/index12306                                                                                                                                                                 |          1 |         30 |         21 |          6 |         57 |
| tests/general/src/test/java/org/opengoofy/index12306/test                                                                                                                                                            |          1 |         30 |         21 |          6 |         57 |
| tests/general/src/test/java/org/opengoofy/index12306/test/general                                                                                                                                                    |          1 |         30 |         21 |          6 |         57 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                                             | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/yufei/Documents/ETH 2024spring/12306/.mvn/wrapper/maven-wrapper.properties                                                                                                                                    | Java Properties    |          2 |          0 |          1 |          3 |
| /Users/yufei/Documents/ETH 2024spring/12306/.workflow/branch-pipeline.yml                                                                                                                                            | YAML               |         42 |         11 |          1 |         54 |
| /Users/yufei/Documents/ETH 2024spring/12306/.workflow/master-pipeline.yml                                                                                                                                            | YAML               |         40 |         11 |          1 |         52 |
| /Users/yufei/Documents/ETH 2024spring/12306/.workflow/pr-pipeline.yml                                                                                                                                                | YAML               |         31 |          9 |          1 |         41 |
| /Users/yufei/Documents/ETH 2024spring/12306/README.md                                                                                                                                                                | Markdown           |        113 |          0 |         78 |        191 |
| /Users/yufei/Documents/ETH 2024spring/12306/checkstyle/12306_checkstyle.xml                                                                                                                                          | XML                |        107 |         16 |          1 |        124 |
| /Users/yufei/Documents/ETH 2024spring/12306/checkstyle/12306_checkstyle_suppression.xml                                                                                                                              | XML                |          6 |         16 |          2 |         24 |
| /Users/yufei/Documents/ETH 2024spring/12306/console-vue/README.md                                                                                                                                                    | Markdown           |         15 |          0 |          5 |         20 |
| /Users/yufei/Documents/ETH 2024spring/12306/console-vue/babel.config.js                                                                                                                                              | JavaScript         |          5 |          0 |          1 |          6 |
| /Users/yufei/Documents/ETH 2024spring/12306/console-vue/jsconfig.json                                                                                                                                                | JSON with Comments |          8 |         12 |          0 |         20 |
| /Users/yufei/Documents/ETH 2024spring/12306/console-vue/package.json                                                                                                                                                 | JSON               |         32 |          0 |          1 |         33 |
| /Users/yufei/Documents/ETH 2024spring/12306/console-vue/public/index.html                                                                                                                                            | HTML               |         16 |          1 |          1 |         18 |
| /Users/yufei/Documents/ETH 2024spring/12306/console-vue/src/constants/index.js                                                                                                                                       | JavaScript         |        216 |          0 |          9 |        225 |
| /Users/yufei/Documents/ETH 2024spring/12306/console-vue/src/global.less                                                                                                                                              | Less               |         29 |          0 |          2 |         31 |
| /Users/yufei/Documents/ETH 2024spring/12306/console-vue/src/main.js                                                                                                                                                  | JavaScript         |         11 |          0 |          2 |         13 |
| /Users/yufei/Documents/ETH 2024spring/12306/console-vue/src/mock/index.js                                                                                                                                            | JavaScript         |          8 |          1 |          1 |         10 |
| /Users/yufei/Documents/ETH 2024spring/12306/console-vue/src/router/index.js                                                                                                                                          | JavaScript         |        146 |          6 |          5 |        157 |
| /Users/yufei/Documents/ETH 2024spring/12306/console-vue/src/service/axios.js                                                                                                                                         | JavaScript         |         34 |          8 |          7 |         49 |
| /Users/yufei/Documents/ETH 2024spring/12306/console-vue/src/service/index.js                                                                                                                                         | JavaScript         |        192 |          0 |         22 |        214 |
| /Users/yufei/Documents/ETH 2024spring/12306/console-vue/src/utils/index.js                                                                                                                                           | JavaScript         |         41 |          0 |          3 |         44 |
| /Users/yufei/Documents/ETH 2024spring/12306/console-vue/vue.config.js                                                                                                                                                | JavaScript         |         22 |          0 |          1 |         23 |
| /Users/yufei/Documents/ETH 2024spring/12306/dependencies/pom.xml                                                                                                                                                     | XML                |        130 |          0 |         21 |        151 |
| /Users/yufei/Documents/ETH 2024spring/12306/format/12306_spotless_formatter.xml                                                                                                                                      | XML                |         32 |         19 |          2 |         53 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/base/pom.xml                                                                                                                                                  | XML                |         17 |          0 |          3 |         20 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/base/src/main/java/org/opengoofy/index12306/framework/starter/bases/ApplicationContextHolder.java                                                             | Java               |         31 |         39 |         13 |         83 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/base/src/main/java/org/opengoofy/index12306/framework/starter/bases/Singleton.java                                                                            | Java               |         26 |         35 |         10 |         71 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/base/src/main/java/org/opengoofy/index12306/framework/starter/bases/config/ApplicationBaseAutoConfiguration.java                                              | Java               |         26 |         21 |          7 |         54 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/base/src/main/java/org/opengoofy/index12306/framework/starter/bases/constant/FilterOrderConstant.java                                                         | Java               |          4 |         24 |          4 |         32 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/base/src/main/java/org/opengoofy/index12306/framework/starter/bases/constant/UserConstant.java                                                                | Java               |          7 |         33 |          7 |         47 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/base/src/main/java/org/opengoofy/index12306/framework/starter/bases/init/ApplicationContentPostProcessor.java                                                 | Java               |         18 |         24 |          8 |         50 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/base/src/main/java/org/opengoofy/index12306/framework/starter/bases/init/ApplicationInitializingEvent.java                                                    | Java               |          7 |         29 |          5 |         41 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/base/src/main/java/org/opengoofy/index12306/framework/starter/bases/safa/FastJsonSafeMode.java                                                                | Java               |          8 |         21 |          5 |         34 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/bizs/pom.xml                                                                                                                                                  | XML                |         15 |          0 |          2 |         17 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/bizs/user/pom.xml                                                                                                                                             | XML                |         55 |          2 |         10 |         67 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/bizs/user/src/main/java/org/opengoofy/index12306/frameworks/starter/user/config/UserAutoConfiguration.java                                                    | Java               |         13 |         29 |          5 |         47 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/bizs/user/src/main/java/org/opengoofy/index12306/frameworks/starter/user/core/UserContext.java                                                                | Java               |         28 |         49 |         12 |         89 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/bizs/user/src/main/java/org/opengoofy/index12306/frameworks/starter/user/core/UserInfoDTO.java                                                                | Java               |         15 |         33 |          8 |         56 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/bizs/user/src/main/java/org/opengoofy/index12306/frameworks/starter/user/core/UserTransmitFilter.java                                                         | Java               |         42 |         21 |          7 |         70 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/bizs/user/src/main/java/org/opengoofy/index12306/frameworks/starter/user/toolkit/JWTUtil.java                                                                 | Java               |         53 |         33 |          8 |         94 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/cache/pom.xml                                                                                                                                                 | XML                |         48 |          0 |         10 |         58 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/cache/src/main/java/org/opengoofy/index12306/framework/starter/cache/Cache.java                                                                               | Java               |         13 |         42 |         12 |         67 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/cache/src/main/java/org/opengoofy/index12306/framework/starter/cache/DistributedCache.java                                                                    | Java               |         27 |         76 |         20 |        123 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/cache/src/main/java/org/opengoofy/index12306/framework/starter/cache/MultistageCache.java                                                                     | Java               |          3 |         21 |          3 |         27 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/cache/src/main/java/org/opengoofy/index12306/framework/starter/cache/RedisKeySerializer.java                                                                  | Java               |         25 |         21 |         11 |         57 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/cache/src/main/java/org/opengoofy/index12306/framework/starter/cache/StringRedisTemplateProxy.java                                                            | Java               |        169 |         38 |         30 |        237 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/cache/src/main/java/org/opengoofy/index12306/framework/starter/cache/config/BloomFilterPenetrateProperties.java                                               | Java               |         11 |         30 |          8 |         49 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/cache/src/main/java/org/opengoofy/index12306/framework/starter/cache/config/CacheAutoConfiguration.java                                                       | Java               |         35 |         28 |          8 |         71 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/cache/src/main/java/org/opengoofy/index12306/framework/starter/cache/config/RedisDistributedProperties.java                                                   | Java               |         13 |         33 |         10 |         56 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/cache/src/main/java/org/opengoofy/index12306/framework/starter/cache/core/CacheGetFilter.java                                                                 | Java               |          5 |         27 |          4 |         36 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/cache/src/main/java/org/opengoofy/index12306/framework/starter/cache/core/CacheGetIfAbsent.java                                                               | Java               |          5 |         24 |          4 |         33 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/cache/src/main/java/org/opengoofy/index12306/framework/starter/cache/core/CacheLoader.java                                                                    | Java               |          5 |         24 |          4 |         33 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/cache/src/main/java/org/opengoofy/index12306/framework/starter/cache/toolkit/CacheUtil.java                                                                   | Java               |         15 |         33 |          8 |         56 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/cache/src/main/java/org/opengoofy/index12306/framework/starter/cache/toolkit/FastJson2Util.java                                                               | Java               |         17 |         27 |          6 |         50 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/cache/src/main/resources/lua/putIfAllAbsent.lua                                                                                                               | Lua                |         10 |          1 |          2 |         13 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/common/pom.xml                                                                                                                                                | XML                |         27 |          0 |          5 |         32 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/common/src/main/java/org/opengoofy/index12306/framework/starter/common/enums/DelEnum.java                                                                     | Java               |         19 |         27 |         10 |         56 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/common/src/main/java/org/opengoofy/index12306/framework/starter/common/enums/FlagEnum.java                                                                    | Java               |         19 |         27 |         10 |         56 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/common/src/main/java/org/opengoofy/index12306/framework/starter/common/enums/OperationTypeEnum.java                                                           | Java               |          6 |         21 |          6 |         33 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/common/src/main/java/org/opengoofy/index12306/framework/starter/common/enums/StatusEnum.java                                                                  | Java               |         19 |         27 |         10 |         56 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/common/src/main/java/org/opengoofy/index12306/framework/starter/common/threadpool/build/ThreadFactoryBuilder.java                                             | Java               |         71 |         21 |         18 |        110 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/common/src/main/java/org/opengoofy/index12306/framework/starter/common/threadpool/build/ThreadPoolBuilder.java                                                | Java               |         85 |         21 |         25 |        131 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/common/src/main/java/org/opengoofy/index12306/framework/starter/common/threadpool/proxy/RejectedProxyInvocationHandler.java                                   | Java               |         23 |         27 |          7 |         57 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/common/src/main/java/org/opengoofy/index12306/framework/starter/common/threadpool/proxy/RejectedProxyUtil.java                                                | Java               |         36 |         32 |          7 |         75 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/common/src/main/java/org/opengoofy/index12306/framework/starter/common/threadpool/support/eager/EagerThreadPoolExecutor.java                                  | Java               |         47 |         21 |          9 |         77 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/common/src/main/java/org/opengoofy/index12306/framework/starter/common/threadpool/support/eager/TaskQueue.java                                                | Java               |         29 |         24 |          9 |         62 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/common/src/main/java/org/opengoofy/index12306/framework/starter/common/toolkit/Assert.java                                                                    | Java               |         75 |         21 |         21 |        117 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/common/src/main/java/org/opengoofy/index12306/framework/starter/common/toolkit/BeanUtil.java                                                                  | Java               |         82 |         78 |         17 |        177 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/common/src/main/java/org/opengoofy/index12306/framework/starter/common/toolkit/EnvironmentUtil.java                                                           | Java               |         22 |         31 |          9 |         62 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/common/src/main/java/org/opengoofy/index12306/framework/starter/common/toolkit/ThreadUtil.java                                                                | Java               |          8 |         26 |          5 |         39 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/convention/pom.xml                                                                                                                                            | XML                |         11 |          0 |          2 |         13 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/convention/src/main/java/org/opengoofy/index12306/framework/starter/convention/errorcode/BaseErrorCode.java                                                   | Java               |         31 |         27 |         13 |         71 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/convention/src/main/java/org/opengoofy/index12306/framework/starter/convention/errorcode/IErrorCode.java                                                      | Java               |          5 |         27 |          5 |         37 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/convention/src/main/java/org/opengoofy/index12306/framework/starter/convention/exception/AbstractException.java                                               | Java               |         15 |         24 |          8 |         47 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/convention/src/main/java/org/opengoofy/index12306/framework/starter/convention/exception/ClientException.java                                                 | Java               |         24 |         21 |          9 |         54 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/convention/src/main/java/org/opengoofy/index12306/framework/starter/convention/exception/RemoteException.java                                                 | Java               |         21 |         21 |          8 |         50 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/convention/src/main/java/org/opengoofy/index12306/framework/starter/convention/exception/ServiceException.java                                                | Java               |         25 |         21 |         10 |         56 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/convention/src/main/java/org/opengoofy/index12306/framework/starter/convention/page/PageRequest.java                                                          | Java               |          7 |         30 |          6 |         43 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/convention/src/main/java/org/opengoofy/index12306/framework/starter/convention/page/PageResponse.java                                                         | Java               |         39 |         36 |         14 |         89 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/convention/src/main/java/org/opengoofy/index12306/framework/starter/convention/result/Result.java                                                             | Java               |         19 |         36 |         12 |         67 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/database/pom.xml                                                                                                                                              | XML                |         46 |          0 |          9 |         55 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/database/src/main/java/org/opengoofy/index12306/framework/starter/database/algorithm/sharding/CustomDbHashModShardingAlgorithm.java                           | Java               |         44 |         19 |         13 |         76 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/database/src/main/java/org/opengoofy/index12306/framework/starter/database/base/BaseDO.java                                                                   | Java               |         14 |         30 |          8 |         52 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/database/src/main/java/org/opengoofy/index12306/framework/starter/database/config/MybatisPlusAutoConfiguration.java                                           | Java               |         26 |         30 |          7 |         63 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/database/src/main/java/org/opengoofy/index12306/framework/starter/database/handler/CustomIdGenerator.java                                                     | Java               |          9 |         21 |          5 |         35 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/database/src/main/java/org/opengoofy/index12306/framework/starter/database/handler/MyMetaObjectHandler.java                                                   | Java               |         17 |         31 |          7 |         55 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/database/src/main/java/org/opengoofy/index12306/framework/starter/database/toolkit/PageUtil.java                                                              | Java               |         43 |         39 |         11 |         93 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/designpattern/pom.xml                                                                                                                                         | XML                |         27 |          0 |          5 |         32 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/designpattern/src/main/java/org/opengoofy/index12306/framework/starter/designpattern/builder/Builder.java                                                     | Java               |          5 |         26 |          5 |         36 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/designpattern/src/main/java/org/opengoofy/index12306/framework/starter/designpattern/chain/AbstractChainContext.java                                          | Java               |         37 |         27 |          8 |         72 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/designpattern/src/main/java/org/opengoofy/index12306/framework/starter/designpattern/chain/AbstractChainHandler.java                                          | Java               |          6 |         29 |          6 |         41 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/designpattern/src/main/java/org/opengoofy/index12306/framework/starter/designpattern/config/DesignPatternAutoConfiguration.java                               | Java               |         17 |         27 |          6 |         50 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/designpattern/src/main/java/org/opengoofy/index12306/framework/starter/designpattern/strategy/AbstractExecuteStrategy.java                                    | Java               |         14 |         38 |          8 |         60 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/designpattern/src/main/java/org/opengoofy/index12306/framework/starter/designpattern/strategy/AbstractStrategyChoose.java                                     | Java               |         47 |         55 |         11 |        113 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/distributedid/pom.xml                                                                                                                                         | XML                |         32 |          0 |          6 |         38 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/distributedid/src/main/java/org/opengoofy/index12306/framework/starter/distributedid/config/DistributedIdAutoConfiguration.java                               | Java               |         21 |         27 |          6 |         54 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/distributedid/src/main/java/org/opengoofy/index12306/framework/starter/distributedid/core/IdGenerator.java                                                    | Java               |          9 |         27 |          5 |         41 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/distributedid/src/main/java/org/opengoofy/index12306/framework/starter/distributedid/core/serviceid/DefaultServiceIdGenerator.java                            | Java               |         45 |         48 |         20 |        113 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/distributedid/src/main/java/org/opengoofy/index12306/framework/starter/distributedid/core/serviceid/ServiceIdGenerator.java                                   | Java               |         18 |         36 |          9 |         63 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/distributedid/src/main/java/org/opengoofy/index12306/framework/starter/distributedid/core/snowflake/AbstractWorkIdChooseTemplate.java                         | Java               |         19 |         33 |          7 |         59 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/distributedid/src/main/java/org/opengoofy/index12306/framework/starter/distributedid/core/snowflake/LocalRedisWorkIdChoose.java                               | Java               |         36 |         21 |          9 |         66 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/distributedid/src/main/java/org/opengoofy/index12306/framework/starter/distributedid/core/snowflake/RandomWorkIdChoose.java                                   | Java               |         19 |         21 |          7 |         47 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/distributedid/src/main/java/org/opengoofy/index12306/framework/starter/distributedid/core/snowflake/Snowflake.java                                            | Java               |        116 |        159 |         42 |        317 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/distributedid/src/main/java/org/opengoofy/index12306/framework/starter/distributedid/core/snowflake/SnowflakeIdInfo.java                                      | Java               |         16 |         36 |          9 |         61 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/distributedid/src/main/java/org/opengoofy/index12306/framework/starter/distributedid/core/snowflake/WorkIdWrapper.java                                        | Java               |         11 |         27 |          6 |         44 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/distributedid/src/main/java/org/opengoofy/index12306/framework/starter/distributedid/handler/IdGeneratorManager.java                                          | Java               |         27 |         36 |         10 |         73 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/distributedid/src/main/java/org/opengoofy/index12306/framework/starter/distributedid/toolkit/SnowflakeIdUtil.java                                             | Java               |         43 |         60 |         17 |        120 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/distributedid/src/main/resources/lua/chooseWorkIdLua.lua                                                                                                      | Lua                |         25 |          0 |          9 |         34 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/pom.xml                                                                                                                                            | XML                |         56 |          0 |          9 |         65 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/annotation/Idempotent.java                                                     | Java               |         19 |         43 |         11 |         73 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/annotation/MQIdempotent.java                                                   | Java               |         20 |         28 |          7 |         55 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/annotation/RestAPIIdempotent.java                                              | Java               |         22 |         31 |          8 |         61 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/config/IdempotentAutoConfiguration.java                                        | Java               |         47 |         39 |         10 |         96 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/config/IdempotentProperties.java                                               | Java               |         12 |         29 |          8 |         49 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/core/AbstractIdempotentExecuteHandler.java                                     | Java               |         10 |         34 |          6 |         50 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/core/IdempotentAspect.java                                                     | Java               |         37 |         37 |          6 |         80 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/core/IdempotentContext.java                                                    | Java               |         43 |         21 |         12 |         76 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/core/IdempotentExecuteHandler.java                                             | Java               |         11 |         38 |         10 |         59 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/core/IdempotentExecuteHandlerFactory.java                                      | Java               |         28 |         31 |          5 |         64 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/core/IdempotentParamWrapper.java                                               | Java               |         19 |         30 |          7 |         56 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/core/RepeatConsumptionException.java                                           | Java               |          8 |         28 |          5 |         41 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/core/param/IdempotentParamExecuteHandler.java                                  | Java               |         60 |         30 |         12 |        102 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/core/param/IdempotentParamService.java                                         | Java               |          4 |         21 |          4 |         29 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/core/spel/IdempotentSpELByMQExecuteHandler.java                                | Java               |         70 |         21 |         11 |        102 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/core/spel/IdempotentSpELByRestAPIExecuteHandler.java                           | Java               |         57 |         21 |         10 |         88 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/core/spel/IdempotentSpELService.java                                           | Java               |          4 |         21 |          4 |         29 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/core/token/IdempotentTokenController.java                                      | Java               |         15 |         24 |          6 |         45 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/core/token/IdempotentTokenExecuteHandler.java                                  | Java               |         52 |         21 |         10 |         83 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/core/token/IdempotentTokenService.java                                         | Java               |          5 |         24 |          5 |         34 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/enums/IdempotentMQConsumeStatusEnum.java                                       | Java               |         14 |         33 |          9 |         56 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/enums/IdempotentSceneEnum.java                                                 | Java               |          5 |         27 |          5 |         37 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/enums/IdempotentTypeEnum.java                                                  | Java               |          6 |         30 |          6 |         42 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/toolkit/LogUtil.java                                                           | Java               |         11 |         24 |          5 |         40 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/idempotent/src/main/java/org/opengoofy/index12306/framework/starter/idempotent/toolkit/SpELUtil.java                                                          | Java               |         34 |         34 |          7 |         75 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/log/pom.xml                                                                                                                                                   | XML                |         34 |          0 |          6 |         40 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/log/src/main/java/org/opengoofy/index12306/framework/starter/log/annotation/ILog.java                                                                         | Java               |         11 |         32 |          6 |         49 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/log/src/main/java/org/opengoofy/index12306/framework/starter/log/config/LogAutoConfiguration.java                                                             | Java               |         10 |         24 |          5 |         39 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/log/src/main/java/org/opengoofy/index12306/framework/starter/log/core/ILogPrintAspect.java                                                                    | Java               |         72 |         24 |          7 |        103 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/log/src/main/java/org/opengoofy/index12306/framework/starter/log/core/ILogPrintDTO.java                                                                       | Java               |          8 |         30 |          7 |         45 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/pom.xml                                                                                                                                                       | XML                |         25 |          0 |          3 |         28 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/web/pom.xml                                                                                                                                                   | XML                |         30 |          0 |          6 |         36 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/web/src/main/java/org/opengoofy/index12306/framework/starter/web/GlobalExceptionHandler.java                                                                  | Java               |         51 |         30 |          9 |         90 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/web/src/main/java/org/opengoofy/index12306/framework/starter/web/Results.java                                                                                 | Java               |         35 |         36 |         10 |         81 |
| /Users/yufei/Documents/ETH 2024spring/12306/frameworks/web/src/main/java/org/opengoofy/index12306/framework/starter/web/config/WebAutoConfiguration.java                                                             | Java               |         37 |         21 |         10 |         68 |
